product_name,ingredients_text,serving_size,review,disease_conditions
Seafood Seasoning,"Salt, paprika (color and spice), black pepper, celery, mustard, mace, cinnamon, ginger, allspice, and bay.",0.9 g (0.25 tsp),"This blend of spices is generally considered healthy in moderation. The primary concerns are the high sodium content from salt, which may be problematic for individuals with hypertension or heart disease. Additionally, some people with allergies may react to one or more of these ingredients.","hypertension, heart disease"
Cajun Seasoning,"Salt, paprika (color), black pepper, cayenne pepper, garlic powder, onion powder, oregano, thyme, and silicon dioxide.",0.9 g (0.25 tsp),"This blend of spices appears to be generally healthy, but it's essential to consider the potential risks associated with excessive consumption of some ingredients. Silicon dioxide is an anti-caking agent that may cause digestive issues in large quantities. The high salt content could be a concern for individuals with hypertension or heart disease, as excessive sodium can increase blood pressure and cardiovascular risk. Additionally, people with diabetes should be cautious due to the potential impact on insulin sensitivity. However, this blend also contains several herbs and spices that have been linked to various health benefits, including antioxidant properties from oregano and thyme.","hypertension, heart disease, diabetes"
Garlic Salt,"Salt, garlic powder, tri-calcium phosphate",1.3 g (0.25 tsp),,
Onion Salt,"Salt, onion powder, and tricalcium phosphate.",1.1 g (0.25 tsp),"This ingredient combination is relatively low in nutritional value, but may be used as a seasoning blend. However, it contains high amounts of sodium from salt, which can be detrimental to health if consumed excessively.","Hypertension: Excessive sodium consumption can increase blood pressure and worsen hypertension symptoms., Obesity: Consuming large amounts of this seasoning blend may contribute to excessive calorie intake, potentially exacerbating obesity., Allergies: Individuals with salt or phosphate sensitivities may experience adverse reactions upon consuming this product."
"Juice Cocktail, Apple","Water, high fructose corn syrup, apple juice concentrate, malic acid, natural and artificial flavors, ascorbic acid (vitamin c), caramel color.",240 ml (8 fl oz),"This beverage contains a mix of both healthy and unhealthy ingredients. The presence of high fructose corn syrup is a major concern due to its potential to contribute to obesity, diabetes, and heart disease. Additionally, the use of artificial flavors may pose health risks for individuals with certain allergies or sensitivities. On the other hand, ascorbic acid (vitamin C) has antioxidant properties that can help protect against oxidative stress and inflammation.","obesity, diabetes, heart disease"
Dill Sauce,"Canola oil, mustard, sugar, egg yolks, vinegar, lemon juice, dill weed, sea salt and spices.",28 g (1 ONZ),"This mixture of ingredients appears to be a homemade salad dressing. The canola oil is a good source of monounsaturated fats, which may help lower cholesterol levels. However, it is high in omega-6 fatty acids, which can lead to inflammation if consumed excessively. Mustard contains antioxidants and has anti-inflammatory properties. Sugar adds calories but no nutritional value, making it a concern for those with diabetes or obesity. Egg yolks are rich in protein and vitamins A and D, but excessive consumption may increase cholesterol levels. Vinegar and lemon juice provide acidity and flavor without significant calorie contribution. Dill weed is low in calories and rich in antioxidants. Sea salt and spices add flavor but should be consumed in moderation due to high sodium content.","diabetes, obesity, hypertension"
Thai Sweet Chili Sauce,"Sugar, water, white vinegar, peppadew peppers,red bell peppers cornstarch, spirit vinegar, garlic sea salt, crushed red peppers, citric acid.",35 g (2 Tbsp),"This condiment is high in added sugars and refined carbohydrates from the sugar and cornstarch. The white vinegar may provide some digestive benefits but excessive consumption can lead to an imbalance of gut bacteria. Peppadew peppers are a good source of vitamin C, but their acidity may irritate stomach ulcers or exacerbate acid reflux. Red bell peppers contain antioxidants, but high intake may cause gastrointestinal upset in some individuals. Crushed red peppers contain capsaicin, which can increase heart rate and blood pressure. This condiment is not suitable for people with diabetes due to its high sugar content. It may also be problematic for those with hypertension or acid reflux.","diabetes, hypertension"
Hot Pepper Raspberry Chipotle Sauce,"Raspberries, sugar, water, cornstarch, lemon juice (from concentrate), chipotle peppers, natural flavoring, chili peppers.",39 g (2 Tbsp),"This raspberry sauce contains a mix of both healthy and unhealthy ingredients. Raspberries are high in antioxidants and fiber, which can help lower cholesterol levels and regulate blood sugar. However, the addition of sugar increases the calorie count and may be detrimental to individuals with diabetes or those trying to manage their weight. Cornstarch is also high on the glycemic index, potentially causing a spike in blood sugar levels. Additionally, the use of natural flavoring can be a concern for individuals with allergies or sensitivities.","diabetes, obesity"
Horseradish Sauce,"Soybean oil, water, corn syrup, distilled white vinegar, egg yolks, modified cornstarch, horseradish, salt, natural flavoring, xanthan gum.",5 g (1 tsp),"This product contains a mix of ingredients that are both beneficial and detrimental to health. The soybean oil is high in omega-6 fatty acids, which can lead to inflammation when consumed excessively. Corn syrup is a source of empty calories and added sugars, contributing to weight gain and increased risk of chronic diseases like diabetes and heart disease. On the other hand, egg yolks are a good source of protein and essential vitamins and minerals. Horseradish has antimicrobial properties and may aid in digestion. However, high consumption of soybean oil and corn syrup can lead to potential health threats.","diabetes, heart disease"
Gourmet Blackberry Chipotle Sauce,"Blackberries, brown sugar, white vinegar, water, white sugar, corn starch, cornstarch, chipotle peppers, natural flavors",38 g (2 Tbsp),,
Isle Onion Dill Horseradish Dip,"Soybean oil, water, corn syrup, vinegar, egg yolks, modified cornstarch, horseradish, salt, natural flavoring and color, dillweed, onions, xanthan gum.",30 g (2 Tbsp),"This condiment appears to be a mixture of processed ingredients with some potential health concerns. The high amount of soybean oil may contribute to increased saturated fat intake, potentially raising cholesterol levels and heart disease risk. Corn syrup is also a source of empty calories, which can lead to weight gain and insulin resistance in individuals with diabetes or those at risk for developing it. Additionally, the presence of xanthan gum may cause gastrointestinal issues in some individuals. However, the condiment does contain some beneficial ingredients like egg yolks, which are a good source of protein and vitamins.","heart disease, diabetes"
Red Raspberry Preserves,"Raspberries, sugar, water, pectin, lemon juice (from concentrate), monocalcium phosphate monohydrate, citric acid.",19 g (1 Tbsp),,
Pear Ginger Preserbes,"Sugar, pears, apples, ginger, water, pectin, lemon juice (from concentrate), monocalcium phosphate monohydrate (leavening agent), citric acid, ascorbic acid.",14 g (1 Tbsp),"This product appears to be a low-calorie jam or spread made from natural ingredients. The presence of pectin and lemon juice suggests that it may have some health benefits due to its potential to lower cholesterol levels and provide antioxidant properties. However, the use of sugar as an ingredient is a concern, particularly for individuals with diabetes or those who are trying to manage their weight.","Diabetes, Obesity"
Mixed Berry Preserves,"Sugar, blueberries, strawberries, raspberries, water, pectin lemon juice (from concentrate), monocalcium phosphate monohydrate, citric acid.",19 g (1 Tbsp),,
Stone Fruit Preserves,"Sugar, cherries, peaches (peaches, ascorbic acid, citric acid), apricots, water, pectin, lemon juice (from concentrate), monocalcium phosphate monohydrate.",19 g (1 Tbsp),"This product appears to be a fruit-based jam or preserve. The primary ingredients are cherries, peaches, and apricots, which are generally considered healthy due to their high antioxidant content and fiber. However, the addition of sugar and pectin may increase the calorie and carbohydrate content. Lemon juice from concentrate is also added, but its impact on nutritional value is minimal.","Diabetes: High sugar content may be a concern for individuals with diabetes., Obesity: Excessive sugar consumption can contribute to weight gain and obesity., Hypertension: Regular consumption of high-sugar foods may increase blood pressure in susceptible individuals."
Fruit Spread,"Sugar, strawberries, lime juice (contains sulfites), water, basil, pectin, monocalcium phosphate monohydrate (leavening agent), citric acid.",21 g (1 Tbsp),"This mixture of sugar, strawberries, and lime juice appears to be a sweetened jam or preserve. The addition of sulfites in the lime juice may cause issues for individuals with sulfite sensitivity or asthma. Pectin is a natural thickening agent but excessive consumption can lead to digestive discomfort. Monocalcium phosphate monohydrate is generally recognized as safe, but high intake may interfere with mineral absorption. Citric acid can erode tooth enamel and exacerbate conditions like gastroesophageal reflux disease (GERD).","sulfite sensitivity, asthma, diabetes (high sugar content), obesity (high sugar content), hypertension (high sodium content not explicitly mentioned, but may be present in the citric acid or other ingredients)"
Blackberry Tea & Sage Fruit Spread,"Sugar, blackberries, water, lemon juice (from concentrate), black tea, pectin, sage, monocalcium phosphate monohydrate (leavening agent), citric acid.",21 g (1 Tbsp),"This product appears to be a low-calorie jam or spread made with sugar, blackberries, and pectin. The addition of lemon juice from concentrate and citric acid provides flavor and preservative properties. However, the use of monocalcium phosphate monohydrate as a leavening agent may indicate a processed food product. Black tea is added for potential health benefits, but its impact may be minimal in this serving size. Sage adds a hint of flavor without significant nutritional value.","Diabetes: High sugar content (21g per 1 Tbsp) may exacerbate blood sugar control., Hypertension: Excessive sugar intake can contribute to sodium retention and increased blood pressure., Obesity: Consuming high-sugar foods regularly can lead to weight gain and obesity."
Apricot Fruit Spread,"Sugar, apricots, water, pectin, citric acid, monocalcium phosphate monohydrate (leavening agent).",17 g (1 Tbsp),"This product contains a mixture of natural and processed ingredients. The primary concern is the high sugar content, which can be detrimental to overall health if consumed excessively. Apricots provide some fiber and antioxidants, but their benefits are outweighed by the negative effects of added sugars. Pectin, a natural gelling agent derived from fruit, has potential health benefits, including lowering cholesterol levels. However, its effectiveness is often diminished by excessive sugar content in commercial products.","Diabetes, Obesity, Hypertension"
Pineapple Glaze,"Water, sugar, cornstarch, pineapple juice concentrate, lemon juice concentrate, natural flavor.",35 g (2 Tbsp),"This product contains high amounts of added sugars and refined carbohydrates from cornstarch. While it may provide some hydration due to the water content, its overall nutritional value is limited. The pineapple and lemon juice concentrates add some vitamin C and antioxidants, but in small quantities. However, this product's primary concern lies in its excessive sugar content.","diabetes, obesity"
Strawberry Glaze,"Water, sugar, cornstarch, strawberry juice concentrate, lime juice concentrate, natural flavor, citric acid.",40 g (2 Tbsp),"This product contains a mixture of refined carbohydrates and added sugars. The high sugar content can lead to a rapid spike in blood glucose levels, which may be detrimental for individuals with diabetes or those at risk of developing insulin resistance. Additionally, the cornstarch is a highly processed ingredient that can cause a significant increase in glycemic index. Although it contains some natural flavorings and citric acid, these benefits are overshadowed by the negative effects of added sugars and refined carbohydrates.","diabetes, obesity"
Blueberry Glaze,"Water, sugar, blueberry juice concentrate, cornstarch, lemon juice concentrate, xanthan gum, citric acid, natural flavor.",35 g (2 Tbsp),,
"Dessert Topping, Dark Chocolate Sauce","Corn syrup, sugar, cream, chocolate liquor, sweetened condensed milk, water, unsalted butter, honey, vanilla extract, sea salt, soy lecithin.",30 g (2 Tbsp),"This dessert-like ingredient combination is high in added sugars and saturated fats. Corn syrup and sugar contribute to a rapid spike in blood glucose levels, potentially problematic for individuals with diabetes or those at risk of developing insulin resistance. The presence of cream and unsalted butter also increases the calorie density, posing risks for those managing obesity or heart disease. Additionally, soy lecithin may cause allergic reactions in sensitive individuals. While honey contains some antioxidants, its high sugar content outweighs any potential benefits. Overall, this ingredient mix poses significant health concerns due to excessive sugar and fat content.","diabetes, heart disease, obesity"
"Organic Dip, Blueberry Lemon Ginger","Blueberries*, water, sugar*, ginger*, cornstarch*, lemon juice concentrate*.",36 g (2 Tbsp),"This product appears to be a frozen or dried blueberry mix with added sweeteners and thickeners. Blueberries are a nutritious fruit high in antioxidants, but the addition of sugar and cornstarch may negate some of their health benefits. The ginger is likely included for flavor rather than medicinal purposes.","Diabetes: High sugar content may be problematic for those with diabetes., Hypertension: Excessive sugar consumption can contribute to high blood pressure., Obesity: Consuming high-calorie foods like this product regularly can lead to weight gain and obesity."
Organic Hot Cherry Merlot Dip,"Cherries*, sugar*, water, cornstarch*, merlot wine*, habanero peppers*.",39 g (2 Tbsp),"This cherry sauce has a high sugar content due to the addition of sugar and cornstarch. The presence of merlot wine may be beneficial for heart health due to its antioxidant properties, but excessive consumption can lead to increased calorie intake and potential liver damage. Habanero peppers add a spicy kick but also contain capsaicin, which can cause stomach upset in some individuals. Cherries are generally healthy, providing antioxidants and anti-inflammatory compounds. However, the serving size is relatively small, making it difficult to reap significant health benefits.","diabetes, obesity"
"Classic Shortbread Cookie Mix, Gourmet Dessert Mix","Wheat flour (wheat flour, malted barley flour), confectioner's sugar (sugar, corn starch), vanilla powder, salt.",28 g (0.08 DRY MIX | APPROX),"This dry mix contains refined wheat flour and added sugars, which can be detrimental to overall health if consumed excessively. The high glycemic index of wheat flour may cause a spike in blood sugar levels, making it unsuitable for individuals with diabetes or those at risk of developing the condition. Additionally, the presence of confectioner's sugar increases the calorie density of this product, potentially contributing to weight gain and obesity. Individuals with heart disease or hypertension should be cautious due to the high sodium content.","diabetes, obesity, heart disease"
"Taste Nirvana, Real Coco Aloe","Natural coconut water, aloe vera.",9.5 ml (1 BOTTLE),"This combination of natural coconut water and aloe vera is generally considered healthy. Coconut water is rich in electrolytes, including potassium, which can help replenish fluids and support hydration. Aloe vera has anti-inflammatory properties and may aid in digestion. However, individuals with kidney problems or those taking certain medications should consult their doctor before consuming this product due to its high potassium content.","Diabetes: High potassium levels may interact with diabetes medications., Hypertension: Excessive consumption can lead to an imbalance of electrolytes and worsen blood pressure conditions."
Real Thai Tea Latte,"Brewed thai tea (water, thai tea), natural cane sugar, full cream milk powder",9.5 ml (1 BOTTLE),"This brewed Thai tea contains high amounts of added sugars from the natural cane sugar and saturated fats from the full cream milk powder. The serving size is relatively small, but consuming multiple bottles may lead to excessive calorie intake. Potential health threats include increased risk of obesity, type 2 diabetes, and heart disease due to the high sugar and fat content.","obesity, diabetes, heart disease"
Real Thai Coffee Latte,"Brewed thai coffee (water, thai coffee), natural cane juice, full cream milk powder",9.5 ml (1 BOTTLE),"This brewed Thai coffee with natural cane juice and full cream milk powder is a calorie-dense beverage that may pose health risks to certain individuals. The high sugar content from the natural cane juice can lead to an increased risk of obesity, diabetes, and dental cavities. Additionally, the saturated fat in the full cream milk powder may raise cholesterol levels and increase heart disease risk. For people with hypertension, consuming this beverage regularly may exacerbate blood pressure issues due to its high sodium content. Individuals with dairy allergies or intolerances should also avoid this product.","diabetes, heart disease, obesity"
Thai Coffee,"Brewed thai coffee (water, thai coffee), natural cane sugar, full cream milk powder, soy lecithin.",9.5 ml (1 BOTTLE),"This brewed Thai coffee contains a mix of ingredients that can have both positive and negative effects on health. The high sugar content from the natural cane sugar contributes to excessive calorie intake, potentially leading to weight gain and increased risk of obesity, diabetes, and heart disease. Additionally, the full cream milk powder is high in saturated fat, which may increase cholesterol levels and cardiovascular risk. Soy lecithin, while generally considered safe, can cause allergic reactions in some individuals. The brewed coffee itself contains caffeine, which can be beneficial for cognitive function but excessive consumption can lead to anxiety, insomnia, and increased heart rate.","obesity, diabetes, heart disease"
"Taste Nirvana, Young Coconut Juice","Coconut juice. coconut meat, natural cane sugar, sodium metabisulfite (e223) (as anti-oxidant).",9.5 ml (1 BOTTLE),"This product contains a mixture of healthy and unhealthy ingredients. Coconut juice is a good source of electrolytes and potassium, but it's high in sugar content due to the addition of natural cane sugar. The sodium metabisulfite (E223) acts as an antioxidant, but it can also cause adverse reactions in some individuals. The coconut meat adds fiber and healthy fats, but its benefits are overshadowed by the excessive sugar content. Consuming this product regularly may lead to weight gain, increased risk of heart disease, and dental cavities due to high sugar intake.","diabetes, heart disease"
"Taste Nirvana, Roasted Young Coconut Juice","Coconut juice, coconut meat, natural cane sugar, sodium metabisulfite (e223) (as anti-oxidant)",9.5 ml (1 BOTTLE),,
"Taste Nirvana, Real Coconut Water With Pulp","Natural coconut water, coconut pulp.",9.5 ml (1 BOTTLE),,
All Natural Sweet Chilli Sauce,"Water, cane sugar, fructose, red chilli, vinegar, garlic, tapioca starch, acetic acid, salt.",25 g (0.88 oz),"This product appears to be a sweet and spicy sauce or condiment. While it contains some natural ingredients like garlic and red chilli, the high amounts of cane sugar and fructose raise concerns about excessive sugar intake. Tapioca starch is also a source of empty calories. The presence of acetic acid may provide some antimicrobial benefits, but its overall impact on health is limited. This product may be detrimental to individuals with diabetes due to its high sugar content. Additionally, those with hypertension or obesity should be cautious as excessive salt and sugar can exacerbate these conditions.","diabetes, hypertension, obesity"
"Taste Nirvana, Coco Motion, Coconut Water","Natural coconut water, natural coconut nectar, lime juice, citric acid, sea salt, natural lime flavor.",480 ml (1 CAN),"This beverage appears to be a refreshing and relatively healthy drink option. The natural coconut water provides electrolytes and hydration, while the lime juice adds a boost of vitamin C. However, there are some concerns worth noting. The high sugar content from the natural coconut nectar may be problematic for those with diabetes or obesity. Additionally, the citric acid may irritate stomachs in individuals with gastroesophageal reflux disease (GERD). Furthermore, the sea salt content is relatively high, which could be a concern for those with hypertension. On the other hand, the natural ingredients and lack of artificial additives are beneficial for overall health.","diabetes, obesity, hypertension, stomach irritation (GERD)"
"Taste Nirvana, Coconut Water, Thai Chili","Natural coconut water, chili extract",9.5 ml (1 BOTTLE),"This product is a low-calorie beverage that provides electrolytes and hydration. However, it may not be suitable for everyone due to its potential effects on blood sugar levels and cardiovascular health. The natural coconut water content may help with rehydration and provide some potassium benefits, but the chili extract could potentially increase heart rate and blood pressure in sensitive individuals.","Diabetes, Hypertension"
"Taste Nirvana, Real Coconut Water","Coconut water, matcha green tea.",9.5 ml (1 BOTTLE),"This beverage combination is a refreshing and healthy choice. Coconut water provides essential electrolytes, including potassium, which can help replenish fluids after exercise or in hot weather. Matcha green tea is rich in antioxidants, particularly catechins, which may aid in weight loss and improve cardiovascular health. However, it's essential to note that excessive consumption of matcha can lead to caffeine overload.","Diabetes: High potassium content may interact with diabetes medications., Hypertension: Excessive caffeine intake from matcha can exacerbate blood pressure issues."
"Chukar Cherries, Dried Northwest Rainier Cherries",Dried rainier cherries with nothing added.,40 g (4 Tbsp),"Rainier cherries are a nutrient-rich food, high in antioxidants and fiber. They contain anthocyanins, which have anti-inflammatory properties. The serving size of 40g provides approximately 100 calories, 2g of protein, and 25g of carbohydrates. Cherries are also a good source of potassium, vitamin C, and manganese.","Diabetes risk: High fiber content may cause digestive issues in individuals with diabetes., Hypertension risk: Potassium content may interact with blood pressure medications., Allergy risk: Some people may be allergic to cherries or experience oral allergy syndrome."
"Chukar Cherries, Berry & Pistachio Mix","Dried cranberries (cranberries, sugar, sunflower oil), roasted pistachios, dried bing cherries.",40 g (4 Tbsp),,
"Chukar Cherries, Dessert Sauce, Vanilla Peach","Peaches, sugar, cherries, water, modified food starch, lemon juice concentrate, natural flavors, salt, ginger.",17 g (1 Tbsp),,
Peach Cherry Salsa,"Peaches, cherries, diced tomatoes, onion. jalapeno, tomato paste, garlic, salt, cilantro, sugar, lemon juice concentrate, water.",17 g (1 Tbsp),,
Pie & Cobbler Filling,"Cherries, sugar, water, modified food starch, lemon juice concentrate, salt.",140 g (0.5 cup),,
Plain Lowfat Yogurt,"Cultured pasteurized grade a lowfat milk, nonfat milk solids, pectin. contains active lactobacillus bulgaricus and streptococcus thermophilus cultures.",198 g (198 g),"This product is a type of yogurt that provides protein and calcium from the low-fat milk. The addition of probiotic cultures, such as Lactobacillus bulgaricus and Streptococcus thermophilus, can aid in digestion and boost the immune system. However, it's essential to note that consuming high amounts of dairy products may be problematic for individuals with lactose intolerance or those who are sensitive to milk proteins.","diabetes, obesity"
"Lowfat Yogurt, Coffee","Cultured pasteurized grade a lowfat milk, sugar, nonfat milk solids, coffee. contains active lactobacillus bulgaricus and streptococcus thermophilus cultures.",198 g (198 g),"This product appears to be a low-fat milk-based beverage with added sugar and coffee. The presence of cultured bacteria such as Lactobacillus bulgaricus and Streptococcus thermophilus may provide some probiotic benefits, potentially aiding in digestion and immune system function. However, the high sugar content is a concern, contributing to excessive calorie intake and potential weight gain.","Diabetes, Obesity"
"The Original Candy Canes, Peppermint","Sugar, corn syrup, peppermint oil, red 40, red 40 lake.",14 g (14 g),"This food ingredient list is concerning due to its high sugar and artificial color content. The presence of sugar and corn syrup indicates a high glycemic index, which can be detrimental for individuals with diabetes or those at risk of developing it. Red 40 and red 40 lake are artificial colors linked to hyperactivity in children and potential cancer risks in animal studies. Peppermint oil is generally considered safe but may cause allergic reactions in some individuals.","diabetes, hypertension"
"12 Candy Canes, Cherry Artificially Flavored","Sugar, corn syrup, citric acid, artificial flavor, yellow 5, blue 1, red 40, yellow 6, red 40 lake.",14 g (14 g),"This food ingredient list is highly processed and contains several potential health threats. The high amounts of sugar and corn syrup can lead to a rapid spike in blood sugar levels, which may be detrimental for individuals with diabetes or those at risk of developing the disease. The artificial flavors and colors (Yellow 5, Blue 1, Red 40) have been linked to hyperactivity in children and potential carcinogenic effects. Additionally, consuming high amounts of citric acid can lead to digestive issues such as stomach pain and diarrhea. For individuals with obesity or hypertension, this food may exacerbate existing health conditions due to its high sugar content.","diabetes, obesity, hypertension"
Cinnamon Jelly Hearts,"Corn syrup, sugar, modified food starch (corn), cornstarch, artificial flavor, red 40.",37 g (5 PIECES),"This product contains a mix of refined carbohydrates and artificial ingredients that can be detrimental to overall health. Corn syrup and sugar are high in empty calories, contributing to weight gain and insulin resistance. Modified food starch and cornstarch may cause digestive issues in some individuals. Red 40 is an artificial dye linked to hyperactivity and potential cancer risks. Artificial flavor adds no nutritional value but may trigger sensitivities or allergies.","Diabetes, Obesity, Hypertension, Allergies"
"Holiday Spicettes Jelly Drops Candy, Cinnamon And Wintergreen","Corn syrup, sugar, modified food starch (corn), cornstarch, artificial flavor, red 40, yellow 5, blue 1.",39 g (39 g),"This product contains a high amount of added sugars and refined carbohydrates, which can be detrimental to overall health. The presence of artificial colors (Red 40, Yellow 5, Blue 1) has been linked to potential health risks, including hyperactivity in children and cancer concerns. Additionally, the use of modified food starch and cornstarch indicates a high glycemic index, which may cause a spike in blood sugar levels.","Diabetes, Obesity, Hypertension"
12 Candy Canes,"Corn syrup, sugar, citric acid, artificial flavor, blue 1.",14 g (14 g),"This product contains a combination of ingredients that pose significant health risks. Corn syrup and sugar are high in empty calories, contributing to weight gain, obesity, and an increased risk of heart disease. Citric acid can cause digestive issues and may exacerbate conditions like gastroesophageal reflux disease (GERD). Artificial flavorings have been linked to potential carcinogenic effects and can trigger allergic reactions in some individuals. Blue 1 is a synthetic food dye that has been associated with hyperactivity, allergies, and potential cancer risks. Consuming this product regularly may lead to an increased risk of developing conditions like diabetes, hypertension, and heart disease.","diabetes, heart disease, obesity, hypertension"
"Assortment Of Mixed Hard Candies, Holiday Mix","Sugar, corn syrup, citric acid, titanium dioxide [color], red 40, yellow 5, blue 1, red 3, natural and artificial flavors.",16 g (16 g),"This food product contains a cocktail of unhealthy ingredients that pose significant health risks. The high sugar content is a major concern, as excessive sugar consumption has been linked to obesity, diabetes, and heart disease. The presence of artificial colors such as Red 40, Yellow 5, Blue 1, and Red 3 may also increase the risk of hyperactivity in children and certain types of cancer. Additionally, citric acid can cause digestive issues in some individuals. Titanium dioxide is a known carcinogen and has been linked to kidney damage. People with diabetes should be particularly cautious due to the high sugar content, while those with obesity or hypertension may want to avoid this product altogether.","diabetes, heart disease, obesity, hypertension"
Jube Jel Cherry Hearts,"Corn syrup, sugar, modified corn starch, artificial flavors, sodium citrate, mineral oil*, red 40, beeswax*.",40 g (5 PIECES),"This product contains a mix of refined carbohydrates and added sugars, which can lead to a rapid spike in blood sugar levels. The presence of artificial flavors and colors like Red 40 may also contribute to hyperactivity and other behavioral issues in children. Mineral oil is not recommended for human consumption as it can cause digestive problems and interact with medications. Beeswax is generally considered safe but may cause allergic reactions in some individuals. Sodium citrate can be problematic for those with kidney disease or taking certain medications.","Diabetes, Obesity, Hypertension"
"Star Brites, Peppermint Candy","Corn syrup, sugar, peppermint oil, titanium dioxide {color], red 40, red 3, yellow 6, blue 1.",15 g (15 g),"This food product contains a high amount of added sugars in the form of corn syrup and sugar. Consuming high amounts of added sugars has been linked to various health problems, including obesity, type 2 diabetes, and heart disease. The presence of artificial colors such as Red 40, Red 3, Yellow 6, and Blue 1 may also pose a risk to individuals with hyperactivity or allergies. Additionally, the use of titanium dioxide as a colorant has raised concerns about its potential toxicity. Peppermint oil is generally considered safe in small amounts, but excessive consumption can cause digestive issues.","diabetes, heart disease, obesity"
Candy Canes,"Corn syrup, sugar, artificial flavor, red 40, red 40 lake, yellow 6.",14 g (14 g),"This product contains a combination of high-sugar ingredients and artificial additives that pose significant health risks. Corn syrup and sugar are linked to obesity, diabetes, and heart disease due to their high glycemic index and contribution to excessive calorie intake. Artificial flavor and colors (Red 40 and Yellow 6) have been associated with hyperactivity in children and potential cancer risks. Red 40 lake is also a known allergen. Consuming this product regularly may exacerbate conditions such as hypertension, obesity, and diabetes.","diabetes, heart disease, obesity, hypertension"
Milk Chocolate,"Milk chocolate (sugar, whole milk powder, cocoa butter, chocolate liquor, lactose, soy lecithin [an emulsifier], butter oil, salt, vanilla extract.",38 g (38 g),"This product is a treat that should be consumed in moderation due to its high sugar and saturated fat content. The presence of lactose may cause digestive issues for those with lactose intolerance. Milk chocolate also contains soy lecithin, which can trigger allergic reactions in individuals with soy allergies. Consuming large amounts regularly increases the risk of obesity, hypertension, and heart disease. People with diabetes should be cautious as the high sugar content can lead to blood glucose spikes.","obesity, hypertension, heart disease, diabetes, lactose intolerance, soy allergy"
Conversation Hearts Candy,"Sugar, corn syrup, cornstarch, glycerin, gelatin, artificial flavor, blue 1, yellow 5, yellow 6, red 3, red 40.",15 g (12 PIECES),"This product contains a mix of refined sugars and artificial colorants. Consuming high amounts of sugar can lead to an increased risk of obesity, diabetes, and heart disease. The artificial colors may also cause hyperactivity in children and have been linked to potential health risks such as cancer and allergic reactions. Additionally, the presence of red 40 has been associated with thyroid problems and potential carcinogenic effects. For individuals with pre-existing conditions like hypertension or allergies, consuming this product could exacerbate their condition.","diabetes, heart disease, obesity"
Conversation Hearts Candy,"Sugar, corn syrup, cornstarch, glycerin, gelatin, artificial flavor, red 3, yellow 5, yellow 6, blue 1, red 40.",15 g (10 PIECES),,
Lemon Drops,"Sugar, corn syrup, lemon juice from concentrate, citric acid, titanium dioxide (color). malic acid, lemon oil, yellow 5.",14 g (14 g),"This product contains a high amount of added sugars and artificial colorings. Sugar and corn syrup are linked to an increased risk of obesity, diabetes, and heart disease due to their high glycemic index and calorie content. Titanium dioxide is a synthetic coloring that has been linked to potential health risks, including inflammation and oxidative stress. Yellow 5, also known as tartrazine, has been associated with hyperactivity in children and may exacerbate allergies or intolerances. Lemon juice from concentrate and lemon oil are relatively healthy ingredients, but their benefits are outweighed by the negative effects of other ingredients.","obesity, diabetes, heart disease"
Hard Candy,"Corn syrup, sugar, artificial and natural cinnamon flavors, red 40, red 3, blue 1, yellow 6.",18 g (3 PIECES),"This food product contains a combination of refined sugars and artificial colors, which can be detrimental to overall health. Corn syrup is high in empty calories and can lead to weight gain, insulin resistance, and increased risk of chronic diseases like diabetes and heart disease. The artificial colors (Red 40, Red 3, Blue 1, Yellow 6) have been linked to hyperactivity, allergies, and potential cancer risks. Natural cinnamon flavors may provide some benefits in terms of anti-inflammatory properties, but they are likely overpowered by the negative effects of the other ingredients.","diabetes, heart disease, obesity, hypertension, allergies"
"Hard Candy, Cinnamon","Isomalt*, maltitol syrup*, natural and artificial flavors, red 40, blue 1, yellow 5, yellow 6, red 3, sucralose (splenda brand).",17 g (17 g),,
"Sugar Free Lemon Drops Hard Candy, Lemon","Isomalt*, citric acid, natural lemon oil, titanium dioxide [color], yellow 5, sucralose (splenda brand).",17 g (17 g),"This product contains a combination of artificial sweeteners and colorants. Isomalt is a sugar substitute that can cause digestive issues in some individuals. Citric acid may be problematic for those with acid reflux or stomach ulcers. Yellow 5, also known as tartrazine, has been linked to hyperactivity in children and allergic reactions in sensitive individuals. Titanium dioxide is a potential carcinogen when ingested in large quantities. Sucralose, while generally considered safe, has been associated with gastrointestinal side effects and may exacerbate symptoms of irritable bowel syndrome (IBS).","diabetes, obesity"
"Brachs, Milk Chocolate Stars","Milk chocolate (sugar, whole milk powder, cocoa butter, chocolate liquor, lactose, soy lecithin [an emulsifier], butter oil, salt, vanilla extract).",38 g (38 g),,
"Star Brites Candy, Peppermint","Corn syrup, sugar, peppermint oil, titanium dioxide [color], red 40, red 3, yellow 6, blue 1.",15 g (15 g),"This food product contains a mixture of artificial sweeteners and colorants that pose potential health threats. Corn syrup and sugar are high in empty calories and can contribute to weight gain, obesity, and insulin resistance. The use of titanium dioxide as a coloring agent has raised concerns about its potential toxicity and carcinogenic effects. Additionally, the artificial colors red 40, red 3, yellow 6, and blue 1 have been linked to hyperactivity, allergies, and cancer risks in animal studies. Peppermint oil may provide some digestive benefits but is not sufficient to outweigh the negative impacts of these other ingredients.","obesity, diabetes, allergies, hypertension"
