product_name,ingredients_text,serving_size
Conversation Hearts Candy,"Sugar, corn syrup, cornstarch, glycerin, gelatin, artificial flavor, red 3, yellow 5, yellow 6, blue 1, red 40.",15 g (10 PIECES)
Lemon Drops,"Sugar, corn syrup, lemon juice from concentrate, citric acid, titanium dioxide (color). malic acid, lemon oil, yellow 5.",14 g (14 g)
Hard Candy,"Corn syrup, sugar, artificial and natural cinnamon flavors, red 40, red 3, blue 1, yellow 6.",18 g (3 PIECES)
"Hard Candy, Cinnamon","Isomalt*, maltitol syrup*, natural and artificial flavors, red 40, blue 1, yellow 5, yellow 6, red 3, sucralose (splenda brand).",17 g (17 g)
"Sugar Free Lemon Drops Hard Candy, Lemon","Isomalt*, citric acid, natural lemon oil, titanium dioxide [color], yellow 5, sucralose (splenda brand).",17 g (17 g)
"Brachs, Milk Chocolate Stars","Milk chocolate (sugar, whole milk powder, cocoa butter, chocolate liquor, lactose, soy lecithin [an emulsifier], butter oil, salt, vanilla extract).",38 g (38 g)
"Star Brites Candy, Peppermint","Corn syrup, sugar, peppermint oil, titanium dioxide [color], red 40, red 3, yellow 6, blue 1.",15 g (15 g)
Candy Corn,"Sugar, corn syrup, confectioner's glaze, salt, dextrose, artificial flavors, gelatin, honey, yellow 6, sesame oil, yellow 5, red 3.",39 g (19 PIECES)
Classic Candy Corn,"Sugar, corn syrup, confectioner's glaze, salt, dextrose, gelatin, sesame oil, artificial flavor, , yellow 6, yellow 5, red 3.","39 g (19 PIECES, PER CONTAINER ABOUT)"
"St. Michael's, Premium Chicharon, Fried Pork Rinds","Pork rinds, salt, monosodium glutamate.",28 g (1 ONZ)
"D'Arbo, Fruit Spread, Rose Apricot","Apricots, sugar, fruit pectin, lemon juice concentrate.",21 g (1 Tbsp)
"D'Arbo, All Natural Fruit Spread, Garden Strawberry","Strawberries, sugar, fruit pectin, lemon juice concentrate.",21 g (1 Tbsp)
Wild Lingonberry Sauce,"Lingonberries, sugar, fruit pectin, lemon juice concentrate.",42 g (2 Tbsp)
"Darbo, Fruit Syrup, Black Currant","Sugar, black currant juice, concentrated black currant juice, citric acid, natural flavor.",30 ml (2 Tbsp)
"D'Arbo, Fruit Spread, Marasque Sour Cherry","Sour cherries, sugar, fruit pectin, lemon juice concentrate.",21 g (1 Tbsp)
Green Chili Pickle In Oil,"Green chilli (70%), corn oil, salt (11%), mustard (6%), ginger, turmeric, spices, lime juice, acetic acid, preservative, sodium benzoate (e211).",20 g (1 Tbsp)
Hot Mango Pickle Relish In Oil,"Mango (65%), salt (11%), corn oil, red chilli powder, fenugreek, mustard, turmeric, spices, acetic acid, preservative sodium benzoate (e211).",20 g (1 Tbsp)
Home Style Green Chilli Pickle In Oil,"Green chilli (70%), corn oil, salt (11%), mustard (6%), ginger, turmeric, spices, lime juice, acetic acid, preservative sodium benzoate (e211).",20 g (1 Tbsp)
"Shredded Mango Pickle, Mango","Sugar (55%), mango (42%), salt, fennel, cumin, clove, cinnamon, cardamom, cardamon, red chili powder, citric acid.",20 g (1 Tbsp)
Home Style Gor-Keri Pickle,"Mango (45%), sugar (30%), jaggery (10%), corn oil, salt, fenugreek, red chilli powder, spices, citric acid, preservative sodium benzoate (e211).",20 g (1 Tbsp)
Pickle In Oil,"Lime (70%), salt (12%), corn oil, fenugreek, red chilli powder, mustard, spices, turmeric, acetic acid, preservative sodium benzoate (e211).",20 g (1 Tbsp)
Chutney,"Sugar (55%), mangoes (42%), salt, acetic acid, spices, garlic, sodium benzoate (preservative e211).",20 g (1 Tbsp)
Indian Gourmet Dry Dates,"Dry dates, potassium metabisulfite (preservative)",50 g (1.75 ONZ)
Berry Kerda Pickle In Oil,"Kerda (berry) (70%), corn oil, salt (11%), mustard, turmeric, spices, acetic acid, preservative sodium benzoate (e211).",20 g (1 Tbsp)
Mango Titbit Katki Pickle,"Sugar (55%), mango (42%), salt, cumin, red chilli powder.",20 g (1 Tbsp)
"Home Style, Ginger Paste","Ginger (80%), salt (8%), acetic acid, emulsifier xanthan gum (e415), preservative sodium benzoate (e211).",16 g (1 Tbsp)
Indian Gourmet Gota Mix,"Chick pea flour, sugar, salt, spices, sodium bicarbonate, black pepper, coriander seeds, citric acid, caraway, fennel seeds.",50 g (1.75 ONZ)
Khaman Mix,"Chickpea flour (80%), sugar (8%), salt, citric acid, sodium bicarbonate.",25 g (0.25 cup)
Dal Vada Mix,"Split moong beans, salt, sodium bicarbonate citric acid.",50 g (1.75 ONZ)
Dahi Vada Mix,"Matpe beans, moong beans, salt, sodium bicarbonate, citric acid.",50 g (1.75 ONZ)
Indian Gourmet Dhokla Mix,"Rice flour (55%) chickpea flour (19%), matpe beans flour (urad dal) (18%), salt, citric acid. sodium bicarbonate.",25 g (0.25 cup)
Dosa Mix,"Rice flour (64%), matpe beans flour (urad dal) (15%), wheat flour (15%), salt, citric acid, sodium bicarbonate.",25 g (0.25 cup)
Gulab Jamun Mix,"Wheat flour, skimmed milk powder, hydrogenated vegetable oil, sodium bicarbonate, citric acid.",50 g (1.75 ONZ)
Idli Mix,"Rice flour (72%), matpe beans flour (urad dal) (19%), salt, citric acid, sodium bicarbonate.",25 g (0.25 cup)
Ginger Garlic Paste,"Ginger (40%), garlic (40%), salt (8%), acetic acid, emulsifier xanthan gum (e415), preservative sodium benzoate (e211).",16 g (1 Tbsp)
Tandoori Naan,"Wheat flour, water, milk, sunflower oil, salt, yeast.",85 g (85 g)
"Mirch Masala, Puff Plain","Wheat flour, water, margarine (palm oil), sugar, salt, baking soda.",80 g (1 PIECE)
10 Aloo Puri,"Filling: potatoes, spices, soybean oil, salt, water, green chilli, coriander leaves. pastry: wheat flour, soybean oil, salt, water.",45 g (1 PIECE)
"Nectar, Pomegranate","Water, pomegranate juice (35%), sugar (7%),glucose, aronia juice concentrate,citric acid, salt, ascorbic acid.",200 ml (6.76 fl oz)
Dahi Homestyle Lowfat Yogurt,"Cultured, pasteurized skim milk, skim milk powder, cream.",227 g (1 cup)
Low Fat Lassi,"Cultured pasteurized low fat milk, mango puree, sugar, pectin, vitamins & minerals added.",295 ml (1 BOTTLE)
Low Fat Lassi,"Cultured pasteurized skim milk & cream, whey protein, sugar, modified corn starch, natural rose flavor, vitamins & minerals.",236 ml (8 fl oz)
Indian Gourmet Paneer,"Pasteurized whole milk, skim milk, vinegar, salt.",28 g (1 ONZ)
Indian Gourmet Chapati,"Wheat flour (56%), water, milk (5%), corn oil, salt.",26 g (1 PIECE)
Kesar Mango Pulp,"Kesar mango pulp, sugar, water, citric acid.",100 g (1 cup)
"Udupi, Jaggery Powder","Unrefined cane sugar (99%), salt, sulphite.",15 g (1 Tbsp)
"Jaggery Ball, Unrefined Cane Sugar","Unrefined cane sugar (99%), salt, sulfite.",28 g (0.25 cup)
Crispy Fried Onions,"Onions, palm oil, wheat flour, salt.",15 g (3 Tbsp)
Red Chili With Garlic Khichiya,"Rice flour (90%), palmolien oil, salt, red chili, garlic, sodium bicarbonate.",28 g (3 PIECES | ABOUT)
Jeera Khichiya Ready-To-Fry Rice Wafers,"Rice flour (90%), palmolein oil, salt, cumin, sodium bicarbonate.",28 g (3 PIECES | ABOUT)
Plain Khichiya,"Rice flour (90%), palmolien oil, salt, sodium bicarbonate.",28 g (3 PIECES)
Green Chili Khichiya Ready-To-Fry Rice Wafers,"Rice flour (90%) palmolien oil, salt green chili, sodium bicarbonate.",28 g (3 PIECES | ABOUT)
Whole Wheat Khari Puffed Pastry,"Wheat flour (60%), hydrogenated vegetable oil(contains one or more of the following: sesame oil, soybean oil palm oil), salt.",40 g (3 PIECES | ABOUT)
Whole Wheat Khari Puffed Pastry,"Wheat flour (60%), hydrogenated vegetable oil (contains one or more of the following: sesame oil, soybean oil, palm oil), salt.",40 g (3 PIECES | ABOUT)
"Bansi, Ready To Cook Crackers","Wheat flour (82%), sago starch (8%), tapioca starch (8%), salt.",50 g (0.5 cup)
Peanut Brittle Chikki,"Peanuts (53%), sugar (21%), jaggery (11%), glucose, palmolien oil.",31 g (3 PIECES | ABOUT)
Peanut Bhujia,"Peanuts (70%), gram flour (20%), palmolein oil, spices, salt.",28 g (1 ONZ)
Kerala Mixture,"Gram flour, peanuts, palm oil, red chili salt, curry leaves, spices, citric acid.",28 g (1 ONZ)
"Rice Murukku, South Indian Snacks","Rice flour (57%), palm oil, chickpea flour (17%), sesame, seeds, spices, salt.",28 g (0.5 cup)
Rava Dosa Mix,"Semolina, wheat flour, rice, sugar, iodised salt, cumin, sodium bicarbonate, edible gum, citric acid, fenugreek.",50 g (1.75 ONZ)
Handvo Mix,"Rice flour, yellow peas flour, matpe beans flour, wheat flour, salt, sodium bicarbonate, sugar, turmeric, chilli, citric acid.",50 g (1.75 ONZ)
Amba Haldar Fresh Turmeric Pickle,"Fresh turmeric (60%), salt (12%), water, acetic acid, preservative sodium benzoate (e211).",16 g (1 Tbsp)
Organic 2% Reduced Fat Milk,"Organic grade a reduced fat milk, vitamin a palmitate,vitamin d3.",240 ml (1 cup)
Organic Creamy Peanut Butter,"Organic dry roasted peanuts, organic palm oil, organic cane sugar, sea salt.",32 g (2 Tbsp)
Organic Microwave Popcorn,"Organic popcorn, organic palm oil, salt, organic butter flavor (diacetyl free) organic annatto (color).",33 g (2 Tbsp)
Crushed Tomatoes With Basil,"Organic tomato puree (water, organic tomato paste), organic tomatoes, sea salt, organic basil, citric acid, calcium chloride.",61 g (0.25 cup)
Organic Maple Spice Instant Oatmeal,"Organic rolled oats, organic dehydrated cane syrup solids, organic maple sugar, sea salt, natural flavor, organic spices.",40 g (40 g)
Organic Dijon Mustard,"Water, organic mustard seeds, organic vinegar , salt, organic turmeric, organic spices.",5 g (1 tsp)
Organic Applesauce,"Organic apples, water, ascorbic acid (vitamin c), citric acid.",113 g (4 oz)
Organic Pears,"Organic pears, water, ascorbic acid (vitamin c), citric acid.",113 g (4 oz)
Organic Sweet Potatoes & Chicken Dinner,"Organic sweet potatoes, water, organic apple puree, organic chicken, organic brown rice flour.",113 g (4 oz)
Organic Extra Virgin Olive Oil,Organic extra virgin olive oil,15 ml (1 Tbsp)
Organic Pears & Raspberries Baby Food,"Organic pears, organic raspberry puree, ascorbic acid (vitamin c), citric acid.",113 g (4 oz)
Organic Applesauce,"Organic apples, water, ascorbic acid (vitamin c).",127 g (0.5 cup)
Apples & Mango,"Organic apples, organic mango puree, water, ascorbic acid (vitamin c), citric acid.",113 g (4 oz)
Macaroni & White Cheddar Cheese Dinner,"Macaroni product (wheat flour), cheese sauce mix (cheddar cheese [cultured pasteurized milk, salt, enzymes], whey, buttermilk solids, salt)",70 g (2.5 oz)
Macaroni Shells & White Cheddar Cheese Dinner,"Macaroni product (wheat flour), cheese sauce mix (cheddar cheese [cultured pasteurized milk, salt, enzymes], whey, buttermilk solids, salt).",70 g (2.5 oz)
Organic Prunes With Apples,"Organic apples, organic prune puree, water, ascorbic acid (vitamin c).",113 g (4 oz)
Organic Chicken With Gravy,"Organic chicken, water, organic corn starch.",71 g (2.5 oz)
Organic Power Greens,"Organic baby spinach, organic red and green chard and organic baby kale.",85 g (3 ONZ)
Organic California Style Blend Vegetables,"Organic broccoli, organic cauliflower, organic carrots.",100 g (1 cup)
Organic Garden Blend,"Organic broccoli, organic carrots, organic corn, organic edamame shelled.",85 g (0.5 cup)
Organic Sweet Peas,"Organic peas, water, organic sugar, sea salt.",125 g (0.5 cup)
Organic Diced Pears,"Organic pears, water, organic pear juice concentrate, ascorbic acid (vitamin c) to protect color, citric acid.",113 g (1 CONTAINER)
Diced Peaches & Pears,"Water, organic peaches, organic pears, organic pear juice concentrate, ascorbic acid (vitamin c) to protect color, citric acid.",113 g (1 CONTAINER)
Organic Petite Diced Tomatoes,"Organic tomatoes, organic tomato juice, sea salt, calcium chloride, citric acid.",120 g (0.5 cup)
Organic Diced Tomatoes With Green Chilies,"Organic diced tomatoes, water, organic chopped green jalapeno chili peppers, sea salt, organic vinegar, organic cilantro, citric acid, calcium chloride.",117 g (0.5 cup)
Organic Chili Powder,"* chili pepper, sea salt, *cumin, *oregano, *garlic.",0.75 g (0.25 tsp)
Organic Great Northern Beans,"Prepared organic great northern beans, water, sea salt.",130 g (0.5 cup)
"Organic Cannellini Beans, White Kidney Beans","Prepared organic cannellini beans, water, sea salt.",130 g (0.5 cup)
Organic Juice Beverage,"Water, organic cane sugar, organic pear juice concentrate, citric acid, ascorbic acid, natural flavor.",177 ml (1 POUCH)
Organic Juice Beverage,"Water, organic cane sugar, organic pear juice concentrate, organic flavor, citric acid, ascorbic acid.",177 ml (1 POUCH)
Organic Juice Beverage,"Water, organic cane sugar, organic pear juice concentrate, citric acid, natural flavor, ascorbic acid.",177 ml (1 POUCH)
Organic Juice Beverage,"Water, organic cane sugar, organic pear juice concentrate citric acid, natural flavor, ascorbic acid.",177 ml (1 POUCH)
Organic Diced Tomatoes,"Organic tomatoes, organic tomato juice (water, organic tomato paste), calcium chloride, citric acid",130 g (0.5 cup)
Organic Tomato Paste,"Organic tomato paste, citric acid.",30 g (2 Tbsp)
Tocino Pork,"Pork, sugar, water, wine, salt, beet powder, black pepper, sodium nitrite.",113 g (4 ONZ)
Hot Cured Pork Longanisa,"Pork, sugar, water, garlic, salt, soy protein concentrate, black pepper, beet powder, cayenne pepper, oleoresin paprika, spices, sodium nitrite.",79 g (2 LINKS)
Skinless Sweet Hamonado,"Pork, sugar, water, salt, garlic, soy protein concentrate, beet powder, oleoresin paprika, spices sodium nitrite.",28 g (1 LINKS)
Premium Ice Cream,"Milk, cream, mango puree, mango pieces, cane sugar, nonfat milk powder, eggs, natural color, locust bean gum, guar, carrageenan.",75 g (0.5 cup)
Ice Cream,"Milk, cream, lychees, cane sugar, nonfat milk powder, eggs, locust bean gum, guar, carrageenan.",75 g (0.5 cup)
"Pasty Size Cascade Style Potato Chips, Original Lightly Salted","Potatoes, vegetable oil (corn oil or sunflower oil), salt.",28 g (1 oz)
"Kettle Style Potato Chips, Original","Potatoes, vegetable oil (corn oil and/or sunflower oil), salt.",28 g (1 oz)
Original Kettle Style Potato Chips,"POTATOES, VEGETABLE OIL (_PEANUT_ OIL, CORN OIL, OR SUNFLOWER OIL), SALT",1 oz (28 g)
"Alaga, The Original Cane Flavor Syrup, Cane","Corn syrup, cane syrup, water, potassium sorbate.",30 ml (2 Tbsp)
"Alaga, Pancake Syrup","Corn syrup, high fructose corn syrup, water, potassium sorbate, sodium benzoate, artificial maple flavor, caramel coloring.",60 ml (0.25 cup)
Breaded Butterfly Shrimp,"Shrimp, wheat flour, water, modified corn starch, salt, sugar, yeast, soybean oil, corn flour, sodium tripolyphosphate (to retain moisture).",85 g (8 SHRIMP | ABOUT)
Jumbo Breaded Tail-On Mini Shrimp,"Shrimp, wheat flour, water, modified corn starch, corn flour, salt, sugar, yeast, soybean oil, sodium tripolyphosphate (to retain moisture).",85 g (7 SHRIMP | ABOUT)
Breaded Popcorn Shrimp,"Shrimp, wheat flour, modified corn starch, corn flour, salt, sugar, yeast, soybean oil, sodium tripolyphosphate (to retain moisture).",85 g (18 SHRIMP | ABOUT)
Popcorn Shrimp,"Shrimp. wheat flour, modified corn starch, corn flour, salt, sugar, yeast, soybean oil, sodium tripolyphosphate (to retain moisture).",85 g (3 oz)
"Vigneri, Creamy Milk Chocolate Plush Bunny Hollow Eggs","Milk chocolate sugar, cocoa butter, milk, chocolate, soy lecithin (an emulsifier) and vanilla .",28 g (1 ONZ)
"Egg Hunt Kit, Creamy Milk Chocolate Eggs","Milk chocolate, sugar, cocoa butter, milk, chocolate, soy lecithin (an emulsifier) and vanilla.",28 g (1 ONZ)
"Vigneri, Milk Chocolate Hen Eggs","Sugar, cocoa butter, milk, chocolate, soy lecithin (an emulsifier), vanilla maltodextrin, & titanium dioxide",28 g (1 ONZ)
"Vigneri, Creamy Milk Chocolate Egg With Jelly Beans Inside","Milk chocolate sugar, cocoa butter, milk, chocolate, soy lecithin (an emulsifier) and vanilla",28 g (1 ONZ)
"Vigneri, Creamy Milk Chocolate Bite Size Eggs","Milk chocolate sugar, cocoa butter, milk, chocolate, soy lecithin (an emulsifier) and vanilla.",28 g (1 ONZ)
"Vigneri, Give Collection Rich Dark Chocolate Egg","Dark chocolate sugar, chocolate, cocoa butter, milk, soy lecithin (an emulsifier) and vanilla.",100 g (3.5 ONZ)
"The Original Dark Chocolate, Mint Creams","Sugar, glucose syrup, cocoa mass, cocoa butter, flavouring: natural peppermint oil; emulsifier: soya lecithin; invertase.",100 g (100 GRM)
"Luxury Brazils Nuts, Dark Chocolate","Brazil nuts (33%), cocoa mass, sugar, cocoa butter, emulsifier: soya lecithin. dark chocolate (67%) contains cocoa solids 55% minimum.",100 g (100 GRM)
Deka Crepes,"Wheat flour, sugar, peanut paste, vegetable oil, cocoa powder, full cream milk, emulsifier (soya lecithin (e322)), salt, caramel colour.",18 g (4 PCS)
"Circus Peanuts, Sweet","Sugar, corn syrup, pork gelatin, pectin, artificial flavor, artificial color (includes: yellow 6, yellow 5, red 40).",38 g (5 PEANUTS)
Dainty Mints,"Sugar, corn syrup, natural peppermint flavor, cream of tartar, artificial colors (yellow 5 lake, red 40 lake, blue 1 lake).",15 g (20 PIECES)
Peppermint Puffs,"Pure cane sugar, invert sugar, oil of peppermint, red 40, red 40 lake.",16 g (3 PIECES)
Fruity Red Ju Ju Fish,"Corn syrup, sugar, modified food starch (corn), malic acid, sodium citrate, artificial flavor, coconut oil, carnauba wax, red 40.",40 g (19 PIECES)
Starlights Peppermints,"Sugar, corn syrup, corn starch, natural peppermint oil, titanium dioxide (for color), red 40.",15 g (3 PIECES)
"Big Fizz, Cola","Carbonated water, high fructose corn syrup, caramel color, phosphoric acid, caffeine, and natural flavor.",240 ml (8 fl oz)
"Big Fizz, Root Beer","Carbonated water, high fructose corn syrup, caramel color, sodium benzoate (preservative), and natural and artificial flavor.",240 ml (8 fl oz)
"Big Fizz, Red Pop Soda, Red Pop","Carbonated water, high fructose corn syrup, citric acid. sodium benzoate (preservative), caramel color, red 40, and artificial flavor.",240 ml (8 fl oz)
"Big Fizz, Lemon Lime Soda","Carbonated water, high fructose corn syrup, citric acid, sodium benzoate (preservative), sodium citrate and natural flavor.",240 ml (8 fl oz)
Butter Scotch Discs,"Sugar, corn syrup, salt, artificial flavor, artificial colors including (yellow 5, yellow 6, red 40, blue 1).",16 g (3 PIECES)
"Discs, Cinnamon","Sugar, corn syrup, artificial flavor, artificial colors including (red 40, blue 1, red 3).",16 g (3 PIECES)
Starlight Spearmints,"Sugar, corn syrup, corn starch, natural spearmint oil, titanium dioxide (for color), artificial colors including (yellow 5, blue 1).",15 g (3 PIECES)
"Simplify, Ginger Ale","Carbonated water, high fructose corn syrup, citric acid, natural flavor, potassium benzoate (preservative), caramel color.",355 ml (12 fl oz)
"Simplify, Root Beer","Carbonated water, high fructose corn syrup, caramel color, potassium benzoate (preservative), natural and artificial flavor, citric acid.",355 ml (12 fl oz)
"Simplify, Thirst Quenching Diet Cola","Carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate (preservative), citric acid, caffeine, natural flavor.",355 ml (12 fl oz)
"Simplify, Soda, Lemon Lime","Carbonated water, high fructose corn syrup, citric acid, natural flavor, potassium citrate, potassium benzoate (a preservative).",355 ml (12 fl oz)
Dry Roasted Peanuts,"Peanuts, sea salt, maltodextrin and cornstarch.",28 g (0.25 CUP | ABOUT)
Tropical Dried Pineapple,"Pineapple, sugar, citric acid, sulfor dioxide, pineapple juice.",40 g (0.25 cup)
Garlic Salt,"Salt, dehydrated garlic, silicon dioxide (anticaking agent), garlic oil.",1.5 g (0.25 tsp)
"Sparkling Water Beverage, Kiwi Strawberry","Carbonated water, citric acid, potassium benzoate (preservative), potassium citrate, sucralose, acesulfame potassium, natural flavors.",240 ml (8 fl oz)
Electrolyte Water,"Vapor distilled water, calcium chloride, magnesium chloride, potassium bicarbonate.",710 ml (24 fl oz)
Electrolyte Water,"Vapor, distilled water, calcium chloride, magnesium chloride, potassium bicarbonate.",33.8 ml (1 L)
Dried Figs,"Mission figs, potassium sorbate as a preservative.",40 g (0.25 cup)
Quality Tomato Paste,Tomato paste and citric acid.,33 g (2 Tbsp)
Apricots,"Apricots, sulfur dioxide for color retention, potassium sorbate as a preservative.",40 g (0.25 cup)
Orange Slice Candy,"Corn syrup, sugar, modified food starch (corn), cornstarch, natural and artificial flavor, yellow 6, red 40.",43 g (3 PIECES)
Chewy Spice Drops,"Corn syrup, sugar, modified food starch (corn), cornstarch, natural and artificial flavors, red 40, yellow 5, blue 1.",38 g (13 PIECES)
Spearmint Leaves,"Corn syrup, sugar, modified food starch (corn), cornstarch, natural flavor, yellow 5, blue 1",41 g (3 PIECES)
Mint Twists,"Sugar, corn syrup, natural peppermint oil, artificial color (red 40, red 3, blue 1).",15 g (3 PIECES)
"Simplify, Diet Cola","Carbonated water, caramel color, natural flavor, potassium benzoate (preservative), citric acid, phosphoric acid, sucralose, caffeine and acesulfame potassium.",240 ml (8 fl oz)
Banana Chips,"Bananas (bananas, coconut oil, sugar, natural banana flavor).",40 g (0.25 cup)
Cashews Pieces & Halves,"Cashews roasted in peanut and/or cottonseed and/or sunflower seed and/or canola oil, salt.",28 g (0.25 CUP)
Roasted & Salted Peanuts,"Peanuts: roasted in peanut and/or cottonseed oil, salt.",28.3 g (1 PACKAGE)
"Flavored Seltzer, Lemon Lime",Filtered carbonated water and natural flavors.,240 ml (8 fl oz)
Refreshing Lemonade Made With Real Fruit Juice,"Filtered water, high fructose corn syrup, lemon juice concentrate, natural lemon flavor, citric acid, yellow 5.",240 ml (8 fl oz)
"Lemonade, Strawberry","Filtered water, high fructose corn syrup, natural flavors, lemon juice concentrate, citric acid, strawberry juice concentrate red 40.",240 ml (8 fl oz)
"Better For You, Organic Juice Cocktail From Concentrate, Apple","Filtered water, organic apple juice concentrate, natural flavors.",240 ml (8 fl oz)
Dark Chocolate,"Dark chocolate (cocoa mass, sugar, cocoa butter, soy lecithin [emulsifier], and natural vanilla extract), sea salt",43 g (0.5 BAR)
Dark Chocolate,"Dark chocolate (cocoa mass, sugar, cocoa butter, soy lecithin [emulsifier], and natural vanilla extract).",43 g (0.5 BAR)
Infused Green Tea,"Green tea, hibiscus, orange peels, natural flavors, dried pomegranate, dried blueberry, dried acai.",2 g (1 TEA BAG)
Gourmet Praline Pecans,"Pecans, evaporated cane juice, water, sea salt.",30 g (8 PIECES)
Praline Nut Mix,"Evaporated cane juice, peanuts, cashews, almonds, water, pecans, and sea salt",30 g (0.25 cup)
Gourmet Cinnamon Praline Almonds,"Almonds, evaporated cane juice, water, ground cinnamon, sea salt",30 g (0.25 cup)
Peanut Brittle,"Peanuts, sugar, butter, corn syrup, sodium bicarbonate, soy lecithin, salt, vanilla, molasses",40 g (0.33 cup)
"Dreamhouse, Peanut Brittle, Milk Chocolate","Milk chocolate (sugar, cocoa butter, milk, chocolate, soy lecithin (an emulsifier), vanilla) sugar, peanuts, corn syrup, butter, sodium bicarbonate, salt.",40 g (0.333 cup)
Grape Juice From Concentrate,"Filtered water, grape juice concentrate, citric acid, ascorbic acid (vitamin c).",240 ml (8 fl oz)
Cranberry Juice Cocktail From Concentrate,"Filtered water, cranberry juice (cranberry juice from concentrate and cranberry juice), cane or beet sugar, ascorbic acid (vitamin c)",240 ml (8 fl oz)
"B4y, Quick Cooking Steel Cut Oats",Whole grain steel cut oats.,40 g (0.25 cup)
"B4y, Dried Veggie Snacks","Sweet potato, squash, taro, carrot, green bean, purple sweet potato, canola oil, dextrin, sea salt.",30 g (0.25 cup)
"B4y Better For You, Dried Green Bean Snacks","Green beans, canola oil, dextrin, sea salt.",30 g (0.5 cup)
"Better For You, Dried Mango Slices","Mango, sugar, citric acid, sodium metabisulfite (color retention)",40 g (0.25 cup)
Party Peanuts,"Peanuts, vegetable oil (peanut, cottonseed, soybean and/or safflower seed), sea salt.",28 g (0.25 CUP)
Salted Mixed Nuts,"Peanuts, almonds, cashews, brazil nuts, filberts, pecans, vegetable oil (peanut, cottonseed, soybean and/or sunflower seed), sea salt",28 g (0.25 CUP | ABOUT)
Mixed Nuts,"Peanuts, almonds, cashews, brazil nuts, filberts, pecans, vegetable oil, (peanut, cottonseed, soybean and/or sunflower seed), sea salt.",28 g (0.25 CUP | ABOUT)
Sugar Free Assorted Fruit Discs,"Isomalt, malic acid, citric acid, natural and artificial flavors, artificial color (fd&c red 40, yellow 5, yellow 6, blue 1)",15 g (3 -4 PIECES)
Honey Roasted Peanuts,"Peanuts, sugar, honey, vegetable oil peanut, cottonseed, soybean and/or sunflower seed), salt, modified potato starch, maltodextrin and xanthan gum.",30 g (0.25 cup)
Air Popped Popcorn,"White popcorn, corn oil, sea salt",28 g (4 CUPS | ABOUT)
"Flavored Popcorn, Butter","Popcorn, soybean oil, maltodextrin, salt, beta carotene artificial flavors, bha",28 g (3.25 CUPS | ABOUT)
"Dreamhouse Fine Food, Sweet & Salty Kettle Corn","White popcorn, sugar, corn oil, and salt.",28 g (2 1/4 CUPS)
Mini Pretzel Twists,"Unbleached enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate-b1, riboflavin-b2, folic acid), malt, salt, soybean oil and yeast.",28 g (16 PRETZELS | ABOUT)
Tonic Water,"Carbonated water, high fructose corn syrup, citric acid, sodium benzoate (preservative), quinine, natural flavors.",240 ml (8 fl oz)
Club Soda,"Carbonated water, potassium chloride, potassium bicarbonate, potassium citrate.",240 ml (8 fl oz)
Real Brewed Tea,"Brewed tea (filtered water, black tea concentrate).",240 ml (8 fl oz)
"Real Brewed Tea, Lemon Sweetened","Brewed tea (filtered water, black tea concentrate), sugar, citric acid, natural flavors.",240 ml (8 fl oz)
Lemonade,"Water, cane sugar, lemon juice concentrate, natural flavor, citric acid.",240 ml (8 fl oz)
Real Strawberry Lemonade,"Water, cane sugar, lemon juice concentrate, natural lemon flavor, citric acid, fruit and vegetable juice (for color)",240 ml (8 fl oz)
"Dreamhouse, Mocha Latte","Cold brewed coffee (water, coffee), reduced fat milk, sugar, dutch cocoa, pectin, natural flavors.",237 ml (8 fl oz)
"Lavish Latte, Vanilla","Cold brewed coffee (water, coffee), reduced fat milk, sugar, pectin, natural flavors.",237 ml (8 fl oz)
Caramel Latte,"Cold brewed coffee (water, coffee), reduced fat milk, sugar, pectin, natural flavors, salt.",237 ml (8 fl oz)
"Sparkling Water Beverage, Tangerine Lime","Carbonated water, citric acid, potassium benzoate (preservative), potassium citrate, sucralose, acesulfame potassium, natural flavors",240 ml (8 fl oz)
Tomato Juice,"Filtered water, tomato concentrate, salt, citric acid, ascorbic acid (vitamin c)",240 ml (8 fl oz)
Zero Calorie Sweetener,"Dextrose, calcium saccharin or sodium saccharin (36mg per 1.0g packet), cream of tartar, calcium silicate (an anticaking agent).",1 g (1 PACKET)
Deluxe Roasted & Unsalted Mixed Nuts,"Cashews, almonds, pistachios, pecans, brazil nuts, vegetable oil flaunt, cottonseed, soybean and/or sunflower seed).",28 g (0.25 CUP)
Unsalted Mixed Nuts,"Peanuts, almonds, cashews, filberts, brazil nuts, pecans, vegetable oil (peanut, cottonseed, soybean and/or sunflower seed)",28 g (0.25 CUP | ABOUT)
Halves & Pieces Cashews,"Cashews, vegetable oil (peanut, cottonseed, soybean and/or sunflower seed)",28 g (0.25 CUP | ABOUT)
"B4y, Organic Cranberry Trail Mix","Organic cranberries (organic cranberries, organic sugar, organic sunflower oil), organic almonds, organic cashews, organic canola oil, sea salt",30 g (0.25 cup)
"Movie Theater Popcorn, Butter","Popcorn, palm oil, salt, artificial butter flavor, annatto extract (color).",30 g (2 Tbsp)
"Rite Aid, Pantry, Salted Pistachio Mix","Pistachios, peanuts, cashews, almonds, roasted in peanut, and/or cottonseed, and/or sunflower seed, and/or canola oil, salt",28 g (0.25 CUP | ABOUT)
